latitude,longitude,price
43.64616766,-79.42451013,469
43.64105127,-79.37627701,98
43.6701855,-79.33584784,69
43.66724069,-79.41597756,66
43.69601674,-79.45468275,69
43.6453047,-79.38940362,199
43.66890104,-79.32592045,54
43.70410154,-79.39026264,66
43.64151207,-79.3764346,131
43.63532283,-79.4404929,125
43.69458079,-79.28680599,66
43.64451421,-79.38184534,135
43.74858426,-79.29111476,110
43.67184559,-79.38583125,130
43.67136295,-79.38597925,121
43.65971871,-79.38171592,121
43.6719111,-79.38584833,121
43.67104911,-79.38480984,110
43.66898642,-79.38547684,121
43.64295707,-79.40450822,80
43.64214261,-79.37993981,130
43.65954916,-79.36700723,315
43.645853,-79.40853475,88
43.65852604,-79.42709162,56
43.67094227,-79.38580664,125
43.64597005,-79.40766309,94
43.65956002,-79.43227664,145
43.64456907,-79.40451314,145
43.67033033,-79.38612495,145
43.69661556,-79.45324963,60
43.64457885,-79.41021776,229
43.63266189,-79.35615787,300
43.66526606,-79.32934372,176
43.67175121,-79.40398465,160
43.65622988,-79.46666904,55
43.64122581,-79.39338589,102
43.63559259,-79.44047779,250
43.68872499,-79.32989656,79
43.70370425,-79.40820377,60
43.6363314,-79.40075796,69
43.65780963,-79.42065224,240
43.65686888,-79.37495118,83
43.64775522,-79.42709258,180
43.64550943,-79.39274284,121
43.64835468,-79.36301772,79
43.64617568,-79.4883263,80
43.64366054,-79.39154741,249
43.67039482,-79.38578279,93
43.65557192,-79.40018609,100
43.76329111,-79.41104876,50
43.74110146,-79.48615837,80
43.78076489,-79.24787863,80
43.6868332,-79.42274261,96
43.67254316,-79.30022891,180
43.69653591,-79.39468177,149
43.66931961,-79.38525263,189
43.64557504,-79.44938207,165
43.66596562,-79.47387864,115
43.64217483,-79.42847595,49
43.69446521,-79.28793742,66
43.67539736,-79.42061797,199
43.63978279,-79.5047274,66
43.64588634,-79.43463717,250
43.66739666,-79.38082934,87
43.66167805,-79.37937137,85
43.68882104,-79.31402882,66
43.66770796,-79.3767909,400
43.63478659,-79.39957488,275
43.66822712,-79.43594159,100
43.65766349,-79.33866005,140
43.66762622,-79.40683329,94
43.68203222,-79.45852346,56
43.68304359,-79.45867936,48
43.68218931,-79.45994772,38
43.65489759,-79.37103615,72
43.65626886,-79.37115534,64
43.65095989,-79.3675921,102
43.65551306,-79.3713339,92
43.64047119,-79.41491482,105
43.6446349,-79.44352778,121
43.68790329,-79.35268336,75
43.68435866,-79.40053075,197
43.64248085,-79.37502448,189
43.66071039,-79.3825872,66
43.660498,-79.38057141,174
43.6602271,-79.40935184,252
43.658306,-79.36884555,75
43.65481477,-79.39696903,135
43.65651761,-79.37268729,85
43.66351287,-79.33246091,149
43.69142646,-79.54383782,100
43.77053439,-79.41100658,60
43.67093066,-79.37298026,125
43.64294372,-79.41037516,147
43.65504272,-79.40017324,201
43.65700076,-79.44805823,73
43.64221641,-79.37987242,94
43.70926045,-79.37706739,41
43.65674306,-79.44785517,90
